Exposición de Arte Moderno,Atracción Central,50,3,true,juanperez,primavera,verano
Teatro de Marionetas,Plaza del Parque,30,2,true,mariarod,primavera,otoño
Galería de Historia,Edificio Principal,40,2,true,juanperez,otoño,invierno
Museo del Cine,Atracción Central,60,4,true,ricardo,verano,halloween
Conciertos de Jazz,Anfiteatro,100,5,true,carla,jazz,verano
Taller de Escultura,Cultura Viva,25,2,true,pedrolopez,primavera,verano
Exposición de Fotografía,Atracción Principal,45,3,false,luisferrer,verano
Feria de Artesanía,Pasillo Cultural,70,3,true,julia,navidad,halloween
Exposición de Historia Medieval,Sala 5,60,4,false,pedrolopez,verano,invierno
Teatro de Sombras,Plaza del Parque,30,2,true,mariar,primavera,halloween
Muestra de Danza Folklórica,Anfiteatro,80,5,true,juanperez,primavera,verano
Cuentos y Leyendas,Atracción Central,40,3,true,mariarod,otoño,invierno
Taller de Pintura,Edificio Principal,35,2,false,ricardo,verano,otoño
Muestra de Instrumentos Musicales,Pasillo Cultural,50,3,true,luisferrer,primavera,verano
Concierto Sinfónico,Anfiteatro,120,6,true,carla,jazz,navidad
Concierto de Jazz,Centro Cultural,200,5,true,,
Concierto de Jazz,Centro Cultural,200,5,true,,
Concierto de Jazz,Centro Cultural,200,5,true,,
Concierto de Jazz,Centro Cultural,200,5,true,,
prueba,centro,10,2,true,,
